事業所名称,事業所郵便番号,事業所所在地
ＴＲＵＥ　ＣＯＬＯＲＳ,545-0001,大阪府大阪市阿倍野区天王寺町北二丁目６番３号
障害者支援施設アテナ平和,545-0003,大阪府大阪市阿倍野区美章園三丁目７番２号
障害者活動センター四天王寺さんめい苑,545-0005,大阪府大阪市阿倍野区三明町一丁目２番２９号
ワークスペース街（ライフスペース街）,545-0011,大阪府大阪市阿倍野区昭和町一丁目５番２７号　フェニックス昭和町ビル２階
あべのっ子,545-0011,大阪府大阪市阿倍野区昭和町五丁目２番１０号
エイブリィ製作所,545-0014,大阪府大阪市阿倍野区西田辺町二丁目１０番８号
みどり教室,545-0021,大阪府大阪市阿倍野区阪南町二丁目２３番１１号
シルフ,545-0021,大阪府大阪市阿倍野区阪南町三丁目４３番１０号
リカバリハウスいちご（リカバリハウスいちごいちえ）,545-0021,大阪府大阪市阿倍野区阪南町六丁目１番１５号
ドレミ舎らっこ組,545-0021,大阪府大阪市阿倍野区阪南町一丁目２４番８号
富永生活介護事業所,545-0021,大阪府大阪市阿倍野区阪南町六丁目１番２号
生活介護事業所　メロディ,545-0023,大阪府大阪市阿倍野区王子町一丁目８番２１号
あべの作業所,545-0023,大阪府大阪市阿倍野区王子町一丁目１０番２号
みなっきーデイサービス,545-0032,大阪府大阪市阿倍野区晴明通９番５号
アトリエコーナス,545-0041,大阪府大阪市阿倍野区共立通二丁目３番２２号
生活介護フルフラール,545-0042,大阪府大阪市阿倍野区丸山通一丁目６番２３号　ウエスタンハイツ松虫２０１
ドレミ舎らっこ２組,545-0053,大阪府大阪市阿倍野区松崎町二丁目６番３０号　朝日プラザ阿倍野１０５号
福祉若葉作業所,559-0002,大阪府大阪市住之江区浜口東二丁目１３番４号
住之江作業所,559-0006,大阪府大阪市住之江区浜口西二丁目９番１１号
児童デイサービスさくらいろ北加賀屋（生活介護＋ぷらす）,559-0011,大阪府大阪市住之江区北加賀屋五丁目５番４１号
ヴィラ　ミカエル,559-0013,大阪府大阪市住之江区御崎五丁目１４番１１号　クレセントマンション１０４，１０５号室
ぴあどりーむ,559-0013,大阪府大阪市住之江区御崎六丁目１番３号　タカラビル２階
住之江木の実園,559-0013,大阪府大阪市住之江区御崎三丁目２番２号
デーセンターいるか,559-0016,大阪府大阪市住之江区西加賀屋三丁目１７番３号
いるか　プレイルーム,559-0016,大阪府大阪市住之江区西加賀屋四丁目７番１０号
いるか　アートセンター,559-0017,大阪府大阪市住之江区中加賀屋三丁目15番10号
豊泉家チャレンジドセンター住之江,559-0024,大阪府大阪市住之江区新北島七丁目４番２４号
生活介護すぺーすしゃとる,559-0024,大阪府大阪市住之江区新北島一丁目２番１号　オスカードリーム２０１
特定非営利活動法人ポートさきしま福祉作業センターさきしま園,559-0033,大阪府大阪市住之江区南港中三丁目２番３６号
ダイナーとき,559-0034,大阪府大阪市住之江区南港北二丁目１番１０号　ＡＴＣビル４階Ｐ－１－２
大領地域の家であい,558-0001,大阪府大阪市住吉区大領五丁目６番２号
大領ＣＯＣＯＲＯ,558-0001,大阪府大阪市住吉区大領四丁目１３番２６号
ライフ・ネットワーク,558-0004,大阪府大阪市住吉区長居東三丁目８番２５号　ふぁみーゆ長居Ⅱ１階
ピア・エンジン,558-0004,大阪府大阪市住吉区長居東三丁目１５番２６号　住吉ニューライフ１階
生活介護　すてっぷ住吉,558-0004,大阪府大阪市住吉区長居東三丁目２０番２４号　みずほコート１０２
ライズケアスタジオ長居,558-0004,大阪府大阪市住吉区長居東四丁目２１番７号
なないろ作業所,558-0011,大阪府大阪市住吉区苅田九丁目２番２８号　ロイヤルキャノンあびこ２階
よりみち,558-0011,大阪府大阪市住吉区苅田八丁目１２番３１号　プランドールソシア１階
さくら,558-0013,大阪府大阪市住吉区我孫子東三丁目１４番５号
ひよこ作業所,558-0014,大阪府大阪市住吉区我孫子四丁目１０番２４号
すずのね,558-0014,大阪府大阪市住吉区我孫子一丁目５番３５号
みつばち,558-0014,大阪府大阪市住吉区我孫子五丁目９番７号
浅香障がい者会館,558-0021,大阪府大阪市住吉区浅香一丁目６番２６号
はぁとらんど浅香,558-0021,大阪府大阪市住吉区浅香一丁目７番１５号
よさみステーション,558-0022,大阪府大阪市住吉区杉本一丁目1番7号
よさみ野障害者作業所,558-0023,大阪府大阪市住吉区山之内四丁目１２番３１号
第２よさみ野障害者作業所,558-0023,大阪府大阪市住吉区山之内二丁目４番２４号
ワンデイサービス　りらいふあびこ,558-0023,大阪府大阪市住吉区山之内一丁目１９番２号
ウィル,558-0033,大阪府大阪市住吉区清水丘二丁目１６番５号
つみき,558-0041,大阪府大阪市住吉区南住吉一丁目４番１５号　サコダビル２階
みつばちｐｌｕｓ,558-0041,大阪府大阪市住吉区南住吉四丁目１１番２２号
生活介護　こねくと,558-0042,大阪府大阪市住吉区殿辻二丁目１番７号
児童発達支援・放課後等デイサービス　ＬＯＯＰ,558-0043,大阪府大阪市住吉区墨江一丁目４番１０号　東洋プラザ住吉１階　１０１号室
多機能型　すみえ,558-0043,大阪府大阪市住吉区墨江四丁目１０番１１号
住吉総合福祉センター障がい通所事業部,558-0054,大阪府大阪市住吉区帝塚山東五丁目８番３号
障がい者活動センターオガリ作業所,558-0054,大阪府大阪市住吉区帝塚山東五丁目８番７号
ライズケアスタジオ万代,558-0055,大阪府大阪市住吉区万代六丁目２０番３号　インペリアルメゾンフィールド１階
ゆら,558-0056,大阪府大阪市住吉区万代東一丁目３番１９号
ライズケアスタジオ住吉,558-0056,大阪府大阪市住吉区万代東四丁目４番７号　１０１号
今林の里,546-0001,大阪府大阪市東住吉区今林三丁目１番８７号
児童発達支援・放課後等デイサービス　はればれ,546-0002,大阪府大阪市東住吉区杭全七丁目８番３１号　サンハイツ１０５号室
ポンチセぴりか,546-0003,大阪府大阪市東住吉区今川四丁目１０番３号
ぴりか工場,546-0003,大阪府大阪市東住吉区今川四丁目１８番１６号
第２ぴりか作業所,546-0003,大阪府大阪市東住吉区今川四丁目１７番２３号
花の彩,546-0003,大阪府大阪市東住吉区今川四丁目１８番３号
生活介護　しおり,546-0003,大阪府大阪市東住吉区今川四丁目４番２２号
デイサービスつどい,546-0003,大阪府大阪市東住吉区今川五丁目８番２５号
アーチジョイ,546-0003,大阪府大阪市東住吉区今川八丁目４番１０号　白鷺公園前ＣＵＢＥ　ＳＰＡＳＥ　Ｂ号
くみひも１号店,546-0012,大阪府大阪市東住吉区中野四丁目８番４号
私の家なでしこ,546-0012,大阪府大阪市東住吉区中野四丁目１５番２３号
運動・入浴型生活介護ぽぷらの樹東住吉,546-0013,大阪府大阪市東住吉区湯里六丁目１番９号
生活介護　けんけんぱ,546-0013,大阪府大阪市東住吉区湯里一丁目３番２号
カラフルデイズ,546-0013,大阪府大阪市東住吉区湯里六丁目１２番１７号
Ｃｈｉ－Ｋａ,546-0014,大阪府大阪市東住吉区鷹合二丁目９番８号
ＣＬＡＮ東住吉,546-0021,大阪府大阪市東住吉区照ケ丘矢田三丁目７番１号
生活介護　Ｋａｋａｒａ（カカラ）,546-0022,大阪府大阪市東住吉区住道矢田九丁目５番２９号
もくれん就労ｆｏｒｍマスタード,546-0022,大阪府大阪市東住吉区住道矢田一丁目２４番２５号
たんぽぽわたぼうし（東住吉たんぽぽ）,546-0022,大阪府大阪市東住吉区住道矢田六丁目１２番２０号
矢田たんぽぽ,546-0022,大阪府大阪市東住吉区住道矢田九丁目１２番２８号
まめの木共同作業所,546-0022,大阪府大阪市東住吉区住道矢田六丁目１７番１９号　矢田ビル１Ｆ
生活介護ライフサポート幸樹,546-0022,大阪府大阪市東住吉区住道矢田七丁目１番１５号
デイサービスりんごの木南店,546-0022,大阪府大阪市東住吉区住道矢田一丁目１９番２４号
ＣＬＡＮ住道矢田,546-0022,大阪府大阪市東住吉区住道矢田八丁目１１番２７号
リリーフ生活介護,546-0022,大阪府大阪市東住吉区住道矢田四丁目２番１５号
こんふぉーと,546-0022,大阪府大阪市東住吉区住道矢田六丁目５番２７号
リバティ,546-0022,大阪府大阪市東住吉区住道矢田六丁目１番１号
Ｗｅｌｆａｒｅ　ｗｏｒｋｓｈｏｐ　風,546-0022,大阪府大阪市東住吉区住道矢田四丁目１６番１０号
もくれんホオノキＰｌｕｓハナキリン,546-0023,大阪府大阪市東住吉区矢田六丁目８番７号
リサイクルたんぽぽ,546-0023,大阪府大阪市東住吉区矢田七丁目９番１１号
ＴＫＧＳ　アエタ,546-0023,大阪府大阪市東住吉区矢田一丁目６番１６号　グレース長居公園１階
かふぇぐるっぽ弐番館,546-0023,大阪府大阪市東住吉区矢田二丁目２０番４号
ＣＬＡＮ東住吉北館,546-0023,大阪府大阪市東住吉区矢田二丁目１１番４号
リアン,546-0023,大阪府大阪市東住吉区矢田五丁目９番８号
ワークステージやた,546-0023,大阪府大阪市東住吉区矢田二丁目１３番１４号
ヴァンサンクの郷,546-0024,大阪府大阪市東住吉区公園南矢田三丁目１３番２２号
障害者活動センター赤おに,546-0031,大阪府大阪市東住吉区田辺五丁目６番１０号
障害者活動センター青おに,546-0031,大阪府大阪市東住吉区田辺五丁目５番２０号
アトリエ　ペンライズ,546-0032,大阪府大阪市東住吉区東田辺三丁目１６番８号
デイサービスセンターやぎ,546-0033,大阪府大阪市東住吉区南田辺一丁目９番４３号
私の家なでしこ南田辺,546-0033,大阪府大阪市東住吉区南田辺五丁目７番１７号
ユイ・ハート,546-0035,大阪府大阪市東住吉区山坂五丁目１６番２７号
大阪発達総合療育センター　なでしこ,546-0035,大阪府大阪市東住吉区山坂五丁目１１番２１号　５階
大阪発達総合療育センター　ひなた,546-0035,大阪府大阪市東住吉区山坂五丁目１２番５号
ぷちわーく　ふるさわ,546-0035,大阪府大阪市東住吉区山坂三丁目６番１７号
二丁目,546-0041,大阪府大阪市東住吉区桑津五丁目13番45号
一丁目,546-0043,大阪府大阪市東住吉区駒川一丁目２１番５号
い～るでぽとふ,546-0043,大阪府大阪市東住吉区駒川五丁目１番８号
なでしこデイズ,546-0043,大阪府大阪市東住吉区駒川五丁目２２番２７号
ラ・ビスタ文の里,546-0044,大阪府大阪市東住吉区北田辺一丁目３番７号
生活介護アイビー,546-0044,大阪府大阪市東住吉区北田辺二丁目４番２２号　７Ａ号室
ドーナッツ,546-0044,大阪府大阪市東住吉区北田辺二丁目４番５号　クラウド大峰２０１
りあらいず,547-0001,大阪府大阪市平野区加美北九丁目１番１８号　１Ｆ、２Ｆ
こんぱすらいふ,547-0001,大阪府大阪市平野区加美北六丁目３番３号
ＣＬＡＮ平野,547-0003,大阪府大阪市平野区加美南二丁目６番３１号
ららら,547-0004,大阪府大阪市平野区加美鞍作三丁目2番32号
ＮＰО法人ピアエール加美作業所,547-0005,大阪府大阪市平野区加美西二丁目１１番１６号
生活介護笑花,547-0011,大阪府大阪市平野区長吉出戸六丁目１１番１３号
ハピネスノアノア,547-0012,大阪府大阪市平野区長吉六反三丁目１番３２号
生活介護あぃり～,547-0012,大阪府大阪市平野区長吉六反三丁目６番３０号　サングレール１階
オレンジピース,547-0012,大阪府大阪市平野区長吉六反五丁目９番１１号
生活介護事業フレンド,547-0013,大阪府大阪市平野区長吉長原東一丁目１番１２号
そらまめ作業所,547-0014,大阪府大阪市平野区長吉川辺一丁目１番１９号
アバそらまめ,547-0014,大阪府大阪市平野区長吉川辺一丁目2番1号　サニーハイツ金田Ⅱ　１０１号
永寿の里彩羽,547-0014,大阪府大阪市平野区長吉川辺三丁目２０番１４号
永寿の里若葉,547-0014,大阪府大阪市平野区長吉川辺三丁目２０番１４号
生活介護あい川辺,547-0014,大阪府大阪市平野区長吉川辺二丁目８番１４号
生活介護あい川辺ｐｌｕｓ,547-0014,大阪府大阪市平野区長吉川辺二丁目８番１４号
生活介護あい川辺ｓｉｅｎｓ,547-0014,大阪府大阪市平野区長吉川辺一丁目１番１０号
あおぞら学園,547-0014,大阪府大阪市平野区長吉川辺二丁目３番５３号
生活介護かしの樹,547-0014,大阪府大阪市平野区長吉川辺三丁目１５番８号
デイサービスセンターゆりのはな,547-0015,大阪府大阪市平野区長吉長原西四丁目６番３号
生活介護支援事業白ゆり,547-0015,大阪府大阪市平野区長吉長原西一丁目３番１９号
デイサービスくらしさ平野,547-0016,大阪府大阪市平野区長吉長原一丁目１２番２０号
生活介護あい長原ｒａｃｔｉｖｅ,547-0016,大阪府大阪市平野区長吉長原四丁目１３番２７号
ジョイネット長吉第２,547-0016,大阪府大阪市平野区長吉長原二丁目１１番６号
ジョイネット,547-0016,大阪府大阪市平野区長吉長原二丁目１１番８号
福祉の家　ジョワ,547-0022,大阪府大阪市平野区瓜破東八丁目７番１６号
大和川園,547-0023,大阪府大阪市平野区瓜破南二丁目４番１２４号
インカーブ,547-0023,大阪府大阪市平野区瓜破南一丁目１番１８号
フレンドシップ,547-0024,大阪府大阪市平野区瓜破二丁目３番３２号
ビハーラ２１あかんのんデイサービス,547-0025,大阪府大阪市平野区瓜破西二丁目１５番３２号　ＮＰＯ法人ビハーラ２１あかんのん１階
かりん,547-0025,大阪府大阪市平野区瓜破西一丁目８番４５号　２Ｆ・３Ｆ
大阪市更生療育センター,547-0026,大阪府大阪市平野区喜連西六丁目２番５５号
オレンジハウス,547-0027,大阪府大阪市平野区喜連二丁目５番４９号　キューブ平野ビル２階、６階
デイサービスにこにこ庵,547-0031,大阪府大阪市平野区平野南二丁目１番７号
生活介護　藍（本館）,547-0033,大阪府大阪市平野区平野西一丁目７番１０号　１Ｆ
生活介護　藍（南館）,547-0033,大阪府大阪市平野区平野西一丁目１０番１４号
生活介護・ポラリス,547-0033,大阪府大阪市平野区平野西四丁目１０番１２－１０３号
生活介護・ポラリス,547-0033,大阪府大阪市平野区平野西五丁目７番２号　Ｆｅｒｉｏ　１階
ソレイユ,547-0033,大阪府大阪市平野区平野西六丁目４番９－１０１号
ひこうき雲,547-0035,大阪府大阪市平野区西脇四丁目１番３４号
生活支援センターぽっぷｕｐ,547-0046,大阪府大阪市平野区平野宮町一丁目４番１５号
ｐｏｔ　ｌｕｃｋ,547-0046,大阪府大阪市平野区平野宮町一丁目５番５－１７４号
ワークセンターいまがわ,547-0048,大阪府大阪市平野区平野馬場一丁目１１番１１号
デイサービスひいらぎ,557-0001,大阪府大阪市西成区山王二丁目５番１４号
デイサービスセンターそらいろ,557-0002,大阪府大阪市西成区太子一丁目１２番９号　１Ｆ
障害者支援施設いまみや,557-0003,大阪府大阪市西成区天下茶屋北一丁目３番１９号
生活介護事業所　カナトレ,557-0004,大阪府大阪市西成区萩之茶屋三丁目８番８号　２Ｆ
みどり生活介護,557-0012,大阪府大阪市西成区聖天下一丁目４番８号
生活介護アイビー,557-0013,大阪府大阪市西成区天神ノ森二丁目６番１９号
ワーカウト西成花園南,557-0015,大阪府大阪市西成区花園南一丁目５番３号１Ｆ
デイサービスすみれ苑,557-0016,大阪府大阪市西成区花園北一丁目１０番１７号
デイサービスセンターお湯～とぴあ,557-0016,大阪府大阪市西成区花園北二丁目４番５号　シャンブル西成１　１０１号室
西成障害者会館,557-0025,大阪府大阪市西成区長橋三丁目２番２７号
生活介護アイビー,557-0025,大阪府大阪市西成区長橋二丁目６番４－４０１・５０１号
生活介護事業所らぶりーハウス,557-0033,大阪府大阪市西成区梅南三丁目６番９号
デーセンター夢飛行,557-0042,大阪府大阪市西成区岸里東一丁目５番３号
はっぴーはーと,557-0042,大阪府大阪市西成区岸里東二丁目１０番１９号
サポートセンターあるす,557-0043,大阪府大阪市西成区玉出東二丁目２番２９号
ここあ,557-0043,大阪府大阪市西成区玉出東一丁目１４番１２号
ワーカウトＮ’ｓ岸里玉出,557-0043,大阪府大阪市西成区玉出東二丁目３番３２号　岸里玉出駅前ビル２階
りらいず＋,557-0045,大阪府大阪市西成区玉出西二丁目１４－１８
ナンクルナイサァー　くくる,557-0051,大阪府大阪市西成区橘一丁目３番５号
ハルデイサービス千本,557-0053,大阪府大阪市西成区千本北二丁目１番３号
せせらぎ,557-0053,大阪府大阪市西成区千本北二丁目１番３号
はっぴーがーでん,557-0053,大阪府大阪市西成区千本北二丁目１７番１号
ひだまりの家,557-0055,大阪府大阪市西成区千本南一丁目３番１４号　朝日プラザ岸里第１　１０４号
生活介護ぜろ,557-0055,大阪府大阪市西成区千本南一丁目１番１６号
ＣＬＡＮ津守,557-0061,大阪府大阪市西成区北津守四丁目８番１０号
生活介護ジヨン,557-0062,大阪府大阪市西成区津守三丁目５番２７号
第一博愛,557-0063,大阪府大阪市西成区南津守一丁目４番７号
第二博愛,557-0063,大阪府大阪市西成区南津守一丁目４番７号
ナンクルナイサァ－ひので,557-0063,大阪府大阪市西成区南津守三丁目３番２２号
さらら,581-0052,大阪府八尾市竹渕五丁目２８番９号
清水園,573-0123,大阪府枚方市大字津田８７３番地２　
南海香里のさと,573-0094,大阪府枚方市南中振一丁目２０番４８号　
とうかえで,573-1124,大阪府枚方市養父東町５０番１３号　
わかたけ,573-1161,大阪府枚方市交北四丁目１２４８番地１　 
茶楽わくわく,573-1162,大阪府枚方市田口一丁目３番２号　 
心学塾作業所,573-0146,大阪府枚方市大峰元町一丁目２１番５号　
出屋敷の里,573-0003,大阪府枚方市出屋敷西町二丁目２０番８号　
エミナわらしべ,573-0164,大阪府枚方市長尾谷町一丁目１０１番地１　 
指定障害者支援施設津田療護園,573-0122,大阪府枚方市津田東町二丁目１番１号　
第二わらしべ園,573-0103,大阪府枚方市長尾荒阪二丁目３５４５番地　
マイウェイひらかたワーク草笛,573-0155,大阪府枚方市藤阪天神町３番１号　
とくふうホーム,573-0112,大阪府枚方市大字尊延寺４５９２番２４　
障害者労働センター,573-0011,大阪府枚方市中宮山戸町１０番１２－１０２号　 
エンジェルス,573-0077,大阪府枚方市東香里新町１１番１８号　
わらしべ園,573-0103,大阪府枚方市長尾荒阪二丁目３５４５番地　
ぱすてる,573-1165,大阪府枚方市都丘町２７番２５号　
ぽっぽサービス,573-1196,大阪府枚方市中宮本町６番１２号　
ぐっどケアＳｏ－Ｌａ,573-0002,大阪府枚方市出屋敷元町二丁目９番１号　 
ワークショップ虹,573-1187,大阪府枚方市磯島元町２１番１０号　
かけはし,573-0082,大阪府枚方市茄子作東町３６番１号　
枚方総合発達医療センター生活介護事業所,573-0122,大阪府枚方市津田東町二丁目１番１号　
わお,573-1142,大阪府枚方市牧野下島町１２番１４号　プランドール牧野駅前１階
Ｈａｒｕかぐまち,573-0102,大阪府枚方市長尾家具町二丁目５－１３　
ぶりりあん,573-1164,大阪府枚方市須山町４１番１６号　
障がい者生活介護御殿山カーム,573-1178,大阪府枚方市渚西２丁目７番３０号　 
ハッピーガーデン,573-0122,大阪府枚方市津田東町三丁目２７番１号　 
オランジュ,573-1116,大阪府枚方市船橋本町二丁目４９番１号　 
山之上のかけはし,573-0049,大阪府枚方市山之上北町５番１号　 
泉学園,573-0027,大阪府枚方市大垣内町二丁目９番１９号　 
ｂｏｎワークス枚方,573-0171,大阪府枚方市北山１丁目６７－６　 
障がい者生活介護めぐりカーム,573-1147,大阪府枚方市渚内野一丁目１４番１１号　 
生活介護ココロステッキ,573-0145,大阪府枚方市大峰南町２２番５号　 
アンダンテ,573-0047,大阪府枚方市山之上一丁目１９番１０号　 
スマイルゲート枚方,573-0013,大阪府枚方市星丘三丁目１番１５号　プラ・ディオ星丘１階
ぐっどケアＭａ－Ｎａ,573-0127,大阪府枚方市津田元町二丁目５４番５号　 
ミルキーウェイ,573-0103,大阪府枚方市長尾荒阪一丁目２８２７番７　 
デイサービスセンターひびき,573-0036,大阪府枚方市伊加賀北町７番８９号　 
ひらかたくすの木,573-0122,大阪府枚方市津田東町二丁目３５番５号　 
生活介護事業所青い鳥,573-0102,大阪府枚方市長尾家具町一丁目７－１０－１０２　 
クオリアすずらん,573-0093,大阪府枚方市東中振二丁目１１番１２号　ローズマンション’８８　２Ｆ１０３・１０４
ミント,573-0165,大阪府枚方市山田池東町２１番２号　フロリアートＢ棟１階
生活介護いろどり,573-0145,大阪府枚方市大峰南町１５番１８号　 
れもん,573-1141,大阪府枚方市養父西町２７番３５号　 
生活介護さくらいろ,573-0127,大阪府枚方市津田元町一丁目１５番５号１０２号室　 
生活介護事業所ＯｚＵ,573-0022,大阪府枚方市宮之阪四丁目１７番３８号　　１階
こどもテラス香里ケ丘,573-0084,大阪府枚方市香里ケ丘十二丁目２２番２２号　 
若葉デイサービス,573-1128,大阪府枚方市樋之上町７番８号　 
はあとせれじ～,573-0102,大阪府枚方市長尾家具町二丁目１６番５５号　 
こどもテラス,573-0081,大阪府枚方市釈尊寺町２５番釈尊寺第２団地３１棟１０２号　 
こどもテラス２,573-0081,大阪府枚方市釈尊寺町２５番釈尊寺第２団地３１棟１０２号　 
わたしの家,573-1164,大阪府枚方市須山町３８番１８号　 
デイサービスセンターしらかば,573-0003,大阪府枚方市出屋敷西町二丁目１番１号　
デイサービスセンターかがやき,573-0036,大阪府枚方市伊加賀北町４－３　
枚方市立デイサービスセンター,573-1161,大阪府枚方市交北三丁目１番５２号　
枚方市立くずは北デイサービスセンター,573-1103,大阪府枚方市楠葉野田３－１２－３　
里仁館身体障害者デイサービスセンター,573-0001,大阪府枚方市田口山２－５－１　
アシュラー,573-0051,大阪府枚方市三矢町２番１０号　
さかのデイサービスセンターほほえみ,573-1168,大阪府枚方市甲斐田東町３４番３３号　 
スバルガーデン,573-0051,大阪府枚方市三矢町６番１２号　 
ナビ,573-0051,大阪府枚方市三矢町２番４－１号　 
アミーゴ,573-0031,大阪府枚方市岡本町８番１２号　 
フーライ,573-0057,大阪府枚方市堤町１番２号　 
デイサービスセンター御殿山カーム,573-1178,大阪府枚方市渚西二丁目７番３０号　 
デイサービスセンターれん,573-0016,大阪府枚方市村野本町１０番９７号　 
枚方市立総合福祉会館デイサービスセンター,573-1191,大阪府枚方市新町二丁目１番３５号　 
あんずシード,573-1105,大阪府枚方市南楠葉１丁目３０番１－４Ｆ号　 
Ｃｏｃｏ　Ｃｏｌｏｒ,573-1171,大阪府枚方市三栗一丁目１－１４　ＳＵＮＳＵＭＡＩ三栗１階
デイサービスセンターしらかば,573-0003,大阪府枚方市出屋敷西町二丁目１番１号　
枚方市立デイサービスセンター,573-1161,大阪府枚方市交北三丁目１番５２号　
枚方市立くずは北デイサービスセンター,573-1103,大阪府枚方市楠葉野田３－１２－３　
里仁館身体障害者デイサービスセンター,573-0001,大阪府枚方市田口山２－５－１　
枚方市立総合福祉会館デイサービスセンター,573-1191,大阪府枚方市新町二丁目１番３５号　 
ぱぴるす,573-0112,大阪府枚方市大字尊延寺２２００番地　
イーウィット,573-0153,大阪府枚方市藤阪東町四丁目６番５号　パークヒルズ５０１号
ＬＩＴＡＬＩＣＯワークス枚方,573-0032,大阪府枚方市岡東町１２番１号　ひらかたサンプラザ１号館５階５０５・５０６号室
あんずシード,573-1105,大阪府枚方市南楠葉１丁目３０番１－４Ｆ号　 
ラ・レコルト枚方,573-0027,大阪府枚方市大垣内町二丁目８－２２　シンエービル２階
ディーキャリア枚方駅前オフィス,573-0027,大阪府枚方市大垣内町二丁目１０番４号　宮村第３ビル４階
あゆみ歩,573-0163,大阪府枚方市長尾元町五丁目２１番６号　長栄ビル３階
パン工房ラビット,573-1164,大阪府枚方市須山町６０番１２号　 
Ｃｏｃｏ　Ｃｏｌｏｒ,573-1171,大阪府枚方市三栗一丁目１－１４　ＳＵＮＳＵＭＡＩ三栗１階
ＬＩＴＡＬＩＣＯワークス枚方第２,573-0032,大阪府枚方市岡東町１８－１５　キューブ枚方駅前２Ｆ
ＬＩＡ未来学園枚方校,573-1127,大阪府枚方市上島町２番５号　ＧＡＬＡ枚方ビル３階
就労移行支援事業所ＣＯＮＮＥＣＴ枚方,573-0032,大阪府枚方市岡東町１２番１号　ひらかたサンプラザ１号館６０１号室
ｈｕｇｈｕｇ津田,573-0126,大阪府枚方市津田西町一丁目１６番４号　 
ＣＯＮＮＥＣＴ枚方第２,573-0032,大阪府枚方市岡東町１２番１号　ひらかたサンプラザ１号館４０４Ａ号室
ウェルビー枚方市駅前センター,573-0031,大阪府枚方市岡本町１０番３３号　リス・ブラン岡本町１階
ひらかた・にじ福祉工場,573-1154,大阪府枚方市招提東町二丁目３番１号　
いまここテラス,573-0027,大阪府枚方市大垣内町二丁目１７番３号　大垣内御浜ビル　３Ｆ
いまここテラスくずは,573-1118,大阪府枚方市楠葉並木２－１３－８　ビスタシオンシマダ２階
健美道枚方,573-0036,大阪府枚方市伊加賀北町７番８９号　 
ステップライフ,573-0053,大阪府枚方市伊加賀南町２番８号　 
ワークサポート枚方,573-0128,大阪府枚方市津田山手二丁目１８番１号　 
ｈｕｇｈｕｇ,573-1144,大阪府枚方市牧野本町二丁目１９番２号　長村ビル１０１
リベラルワークス,573-0094,大阪府枚方市南中振一丁目１番２８号　 
ウェルジョイ,573-1192,大阪府枚方市西禁野二丁目２番２６号　第二黒川ビル２階
フューチャーライト,573-0126,大阪府枚方市津田西町三丁目１８番８号２階　 
ｗｉｔｈ　ｐｌｕｓ,573-0127,大阪府枚方市津田元町一丁目１５番５号　アルコープ岡本２０３号
ｈｕｇｈｕｇ津田,573-0126,大阪府枚方市津田西町一丁目１６番４号　 
清水園,573-0123,大阪府枚方市大字津田８７３番地２　
ひらかた・にじ福祉工場,573-1154,大阪府枚方市招提東町二丁目３番１号　
ワークショップちゃぶ,573-1161,大阪府枚方市交北二丁目７番１５号　
さくら事業所,573-0022,大阪府枚方市宮之阪三丁目６番３号１０１　
ぱうんどケーキ村,573-0047,大阪府枚方市山之上四丁目５番４号　
心学塾作業所,573-0146,大阪府枚方市大峰元町一丁目２１番５号　
クッキー工房おれんじはうす,573-1161,大阪府枚方市交北三丁目３番１０号　
出屋敷の里,573-0003,大阪府枚方市出屋敷西町二丁目２０番８号　
ぱぴるす,573-0112,大阪府枚方市大字尊延寺２２００番地　
やなぎ工房,573-1196,大阪府枚方市中宮本町４番２５号　 
アトラクト,573-0153,大阪府枚方市藤阪東町四丁目６番５号　パークヒルズ５０１号
マイウェイひらかたワーク草笛,573-0155,大阪府枚方市藤阪天神町３番１号　
とくふうホーム,573-0112,大阪府枚方市大字尊延寺４５９２番２４　
パインスター,573-0117,大阪府枚方市大字杉４６０７番７４号　
キッズ枚方コミュニケーションズ,573-0057,大阪府枚方市堤町２番１－１０３号　
ハウスゆう,573-0011,大阪府枚方市中宮山戸町７番２３号　
セルプわらしべ,573-0154,大阪府枚方市王仁公園２番２号　
サンスクエア,573-1146,大阪府枚方市牧野阪一丁目２３番１９－１０３号　
福祉の店あすか,573-1192,大阪府枚方市西禁野一丁目３番１８－１０１号　
わお,573-1146,大阪府枚方市牧野阪２－７－３６　丸天ビル１階
就労支援センターあんず,573-1106,大阪府枚方市町楠葉１丁目１２番３－１０１号　 
ＺＥＲＯ,573-0145,大阪府枚方市大峰南町１４番１９号　 
しらかばの郷,573-0002,大阪府枚方市出屋敷元町一丁目４５番５号　パークサイドスクエア１０１号
あ～とはうす,573-0064,大阪府枚方市北中振３丁目１８番１５号　ダイケンビル光善寺１０１号室
クオリアＭｏｏｎ,573-0027,大阪府枚方市大垣内町三丁目１１－４１　サングレイス泉１０３
ステップライフ,573-0053,大阪府枚方市伊加賀南町２番８号　 
障がい者複合施設いそしまカーム,573-1188,大阪府枚方市磯島北町２９番１５号　 
就労継続支援作業所青い鳥,573-0102,大阪府枚方市長尾家具町一丁目４－１８　 
就労支援センターあんず中町,573-1107,大阪府枚方市楠葉中町３７番１６号　 
晴れる家喫茶,573-1142,大阪府枚方市牧野下島町２番８号　竹島ビル１０１
あゆみ歩,573-0163,大阪府枚方市長尾元町五丁目２１番６号　長栄ビル３階
ミルキーウェイ,573-0103,大阪府枚方市長尾荒阪一丁目２８２７番７　 
